booking_date,id_marketing_channel,customer_country,booking_id,number_of_nights_booked,number_of_guests,rooms_booked,hotel_id,total_revenue_in_euros
2024-04-01,3,Spain,248435Y5326453YB6242159666,2,2,1,2,220.0
2024-04-01,1,Spain,248435Y5379453YB6248302432,2,2,1,3,500.0
2024-04-01,2,Spain,248435Y4700647YB6242462882,1,2,1,1,100.0
2024-04-01,4,Spain,248435Y4235042YB6243174774,2,2,1,4,550.0
2024-04-01,5,Spain,248435Y5832358YB6243568315,2,2,1,3,500.0
2024-04-01,4,Spain,248435Y8352383YB6240520326,2,2,1,1,200.0
2024-04-01,2,Spain,248435Y7185171YB6242471733,3,2,1,2,330.0
2024-04-01,4,Spain,248435Y1025510YB6246657261,2,2,1,3,500.0
2024-04-01,3,Mexico,248435Y9394993YB6245589316,2,2,1,5,1500.0
2024-04-01,4,Mexico,248435Y6288562YB6241795804,2,2,1,5,1500.0
2024-04-01,5,Spain,248435Y3870738YB6243210856,2,2,1,4,550.0
2024-04-01,4,Spain,248435Y9639296YB6242838017,2,2,1,1,200.0
2024-04-02,2,Spain,248435Y0608106YB6240926755,3,2,1,3,750.0
2024-04-02,3,Spain,248435Y2090120YB6244386072,3,2,1,4,825.0
2024-04-02,4,Mexico,248435Y8731387YB6249900335,3,2,1,5,2250.0
2024-04-02,3,Mexico,248435Y9073390YB6248545548,1,2,1,5,750.0
2024-04-02,3,Spain,248435Y7254272YB6244871519,2,2,1,2,220.0
2024-04-02,3,Mexico,248435Y7521275YB6244081541,3,2,1,5,2250.0
2024-04-02,1,Mexico,248435Y8379483YB6240064509,1,2,1,5,750.0
2024-04-02,3,Mexico,248435Y9942999YB6247955421,2,2,1,5,1500.0
2024-04-02,4,Spain,248435Y2202522YB6248080979,3,2,1,1,300.0
2024-04-02,2,Mexico,248435Y6792767YB6247776994,2,2,1,5,1500.0
2024-04-02,3,Spain,248435Y4969249YB6246835191,3,2,1,3,750.0
2024-04-02,4,Spain,248435Y3836638YB6242645600,2,2,1,3,500.0
2024-04-03,4,Spain,248435Y5410454YB6246877138,2,2,1,4,550.0
2024-04-03,3,Spain,248435Y3744337YB6245446936,2,2,1,1,200.0
2024-04-03,2,Mexico,248435Y1965319YB6243196040,3,2,1,5,2250.0
2024-04-03,2,Mexico,248435Y9691096YB6242511290,2,2,1,5,1500.0
2024-04-03,3,Spain,248435Y6179461YB6243898267,2,2,1,3,500.0
2024-04-03,1,Spain,248435Y8139681YB6241541457,3,2,1,2,330.0
2024-04-03,1,Spain,248435Y3965539YB6240998385,2,2,1,4,550.0
2024-04-03,4,Spain,248435Y0340603YB6249102036,1,2,1,1,100.0
2024-04-03,2,Spain,248435Y3919039YB6248982872,3,2,1,3,750.0
2024-04-03,1,Spain,248435Y1088610YB6244424171,3,2,1,2,330.0
2024-04-04,2,Spain,248435Y0784607YB6245529059,1,2,1,3,250.0
2024-04-04,2,Spain,248435Y6410264YB6248687070,2,2,1,4,550.0
2024-04-04,3,Spain,248435Y1931719YB6244294122,3,2,1,1,300.0
2024-04-04,3,Spain,248435Y5404754YB6243305928,2,2,1,2,220.0
2024-04-04,1,Spain,248435Y0161101YB6249896471,1,2,1,3,250.0
2024-04-04,2,Spain,248435Y1815218YB6246959546,2,2,1,2,220.0
2024-04-04,5,Spain,248435Y0755407YB6240864627,2,2,1,4,550.0
2024-04-04,2,Spain,248435Y4334143YB6245672808,1,2,1,1,100.0
2024-04-04,3,Spain,248435Y7208872YB6243285571,2,2,1,2,220.0
2024-04-04,3,Spain,248435Y8014280YB6243830605,1,2,1,3,250.0
2024-04-04,2,Spain,248435Y9230992YB6242423910,2,2,1,2,220.0
2024-04-04,4,Spain,248435Y7201172YB6240162681,2,2,1,3,500.0
2024-04-04,2,Spain,248435Y4822848YB6247537076,3,2,1,4,825.0
2024-04-04,3,Mexico,248435Y0618106YB6248941821,1,2,1,5,750.0
2024-04-04,4,Spain,248435Y3668336YB6248522761,3,2,1,2,330.0
2024-04-05,4,Mexico,248435Y7045270YB6243100210,2,2,1,5,1500.0
2024-04-05,2,Spain,248435Y2257022YB6247339474,3,2,1,3,750.0
2024-04-05,3,Mexico,248435Y3038130YB6242784099,3,2,1,5,2250.0
2024-04-05,4,Spain,248435Y4237942YB6247988495,2,2,1,4,550.0
